logFC	AveExpr	t	P.Value	adj.P.Val	B
CD3D	-1.54075574466535	9.89022755880292	-4.86454491843998	3.06890392616694e-06	2.59540879775267e-05	4.09765298506664
MCOLN2	-1.31095692415276	7.06089965548175	-4.85303402565506	3.22515201961315e-06	2.71000916889198e-05	4.05027104651185
CD7	-1.10286417888504	8.74028912127007	-4.84733934283865	3.3052758272004e-06	2.76621683120302e-05	4.02685946883646
PIK3IP1	-1.10098736597243	9.09464405883942	-4.78797672070303	4.26407969803226e-06	3.42075403557415e-05	3.7839719794717
IRF8	-1.05089012412598	9.78496849120438	-4.78311306978075	4.35360930381453e-06	3.48188814481816e-05	3.76416618938236
HDC	-1.75635158401574	6.91575478453285	-4.75390836794742	4.9307383410274e-06	3.85209326448127e-05	3.6455408210039
AKR1C3	-1.19574230803464	7.65929004660584	-4.66991586472115	7.03388721891668e-06	5.21825572032194e-05	3.30728626118181
PRR5L	-1.1526207132504	7.10097811892701	-4.64962390719359	7.65948911597897e-06	5.61069654725496e-05	3.22622028424861
ZFP36L2	-1.19941726685826	9.60438744875182	-4.63362950562524	8.19016716780012e-06	5.95850483724158e-05	3.16250371506707
EOMES	-1.63537743371575	8.11575143758394	-4.62727544638649	8.41070119653278e-06	6.08422557836382e-05	3.13723553113149
CD8A	-1.54341698295538	7.9743973043163	-4.57523516224504	1.04459682932932e-05	7.23603091913809e-05	2.9312407560702
IL7R	-1.52498458191732	10.1095036212883	-4.51583047209169	1.33512757065887e-05	8.91762843201097e-05	2.69818896306835
NAAA	-1.04941653261496	8.17168022059124	-4.48487126838806	1.51599435783828e-05	9.92900314691951e-05	2.57762537806637
HLA-DRB6	-1.92935010236299	7.94006580656204	-4.40185462516454	2.12517037162509e-05	0.000133100095234254	2.25739044077679
RARRES3	-1.14292001108661	9.69159064924088	-4.25847199592656	3.77044593858511e-05	0.000217868830271034	1.71494630735784
HLA-DMB	-1.4939380895433	10.4127034073358	-4.1996265619867	4.75287680943466e-05	0.000264139610352674	1.49629699395469
FCER2	-1.17323821256378	5.8172207689708	-4.19600528005838	4.8207415988468e-05	0.000267044048398228	1.4829180599089
PMP22	-1.0666007032126	5.28407407171533	-4.03343009173217	9.03147179522113e-05	0.000457836928590914	0.891540249897911
OAF	-1.03914395345985	7.40721418335036	-4.00949371225077	9.89166281867536e-05	0.000495436279078167	0.80601751888988
CSF1R	-1.45430746325984	10.0628709541752	-3.98228767308331	0.000109642310503815	0.000542913818899278	0.70930082992161
CPVL	-1.49432714980709	10.2130228891314	-3.94425819973111	0.000126507787066455	0.000615063208467748	0.574982186464114
CD79A	-1.00267095632401	7.63012711667153	-3.848941255707	0.00018031075764319	0.000835770869315177	0.242850340599294
TLR7	-1.05223925093544	7.16893778820438	-3.84112606992838	0.000185576487788199	0.000857573398253776	0.215907479706322
CCR7	-1.2883830349937	9.16542693490511	-3.7296567650705	0.00027852991460646	0.0012121037457874	-0.163556309062078
RPS4Y2	-1.04292886444724	6.82229662743796	-3.59012745650085	0.000457497730570742	0.00186223667354204	-0.625650466811424
CXCL8	-1.49313542054094	8.75432367445985	-3.55110357609421	0.000524339006869149	0.00209755669299779	-0.752285711766483
GPR162	-1.41375254687716	8.44894419188321	-3.52731514215105	0.000569489867873502	0.00224552153484788	-0.828916527768364
RPS6KA5	-1.03192475854725	8.9811061830292	-3.51145462125167	0.000601600286165516	0.00234997301617643	-0.879770323849871
CD86	-1.00209660974331	8.41644101189416	-3.33746890033755	0.00108525090976655	0.0039050353734216	-1.42496354512806
KLRB1	-1.06406827537008	9.74573775881022	-3.31185944750566	0.00118153922785972	0.00419376215579546	-1.50323217923238
TGFBI	-1.29641857285039	10.1062234660584	-3.13888817085065	0.00207191480935812	0.00675958973227854	-2.0183305264578
CLC	-1.28942417977165	11.0716068894963	-2.83652434357167	0.00524378736696286	0.0147070859530085	-2.86077708649828
HLA-DRB5	-1.60485591747244	6.38170657922628	-2.34892598111985	0.0202379123996271	0.0449717045734061	-4.05753931162573
